ID,Supplier,Brand,Product,UPC
152090,UNFI,bionaturae®,Extra Virgin Olive Oil,2250642350
486597,UNFI,Jimbo's Jumbos,"Blanched Peanuts (Oil Roasted, Unsalted)",7418301065
1169580,UNFI,Napa Valley Naturals®,Safflower Oil,7869691002
393850,UNFI,Spectrum Naturals,All Vegetable Shortening,22506002708
857649,UNFI,Spectrum Naturals,High Heat Safflower Oil (Refined),22506101401
504415,UNFI,Spectrum Naturals,High Heat Safflower Oil (Refined),22506101401
932269,UNFI,Spectrum Naturals,Safflower Oil (Unrefined),22506101500
504472,UNFI,Spectrum Naturals,Sunflower Oil (Refined),22506117501
226746,UNFI,Spectrum Naturals,Canola Oil (Refined),22506134300
961300,UNFI,Spectrum Naturals,Canola Oil (Refined),22506134409
508044,UNFI,Spectrum Naturals,Canola Oil (Refined),22506138308
641845,UNFI,Spectrum Naturals,Canola Oil (Refined),22506138308
402941,UNFI,Spectrum Naturals,Toasted Sesame Oil (Unrefined),22506165106
326488,UNFI,Spectrum Naturals,Red Wine Vinegar,22506260283
326587,UNFI,Spectrum Naturals,White Wine Vinegar,22506261280
857482,UNFI,Spectrum Naturals,Balsamic Vinegar,22506262287
326462,UNFI,Spectrum Naturals,Apple Cider Vinegar (Unfiltered),22506270282
300699,UNFI,Spectrum Naturals,Apple Cider Vinegar (Filtered),22506281288
960898,UNFI,Spectrum Naturals,Extra Virgin Olive Oil,22506423305
701607,UNFI,Spectrum Naturals,Extra Virgin Olive Oil,22506423459
224139,UNFI,Spectrum Naturals,Mediterranean Extra Virgin Olive Oil,22506423503
300673,UNFI,Spectrum Naturals,Canola Oil (Refined),22506800205
2168474,UNFI,LouAna®,Peanut Oil,26700101564
296020,UNFI,Bulk Commodity,Raw Walnuts (Halves & Pieces),26938002961
593020,UNFI,Bulk Commodity,Raw Filberts (Hazelnuts),26938005931
768606,UNFI,Bulk Commodity,Pine Nuts (Pignolas),26938013653
178806,UNFI,Bulk Commodity,Whole Almonds,26938017880
1020221,UNFI,Bulk Commodity,Walnuts (In-Shell),26938020224
948620,UNFI,Bulk Commodity,Almonds (Dry Roasted),26938034917
1374842,UNFI,Bulk Commodity,Almonds (Dry Roasted),26938034917
1374990,UNFI,Bulk Commodity,"In Shell Pistachios (Roasted, No Salt)",26938035303
192245,UNFI,Bulk Commodity,"Almonds (Oil Roasted, Unsalted)",26938049935
503201,UNFI,Bulk Commodity,"Cashews (Roasted, Unsalted)",26938050320
1375021,UNFI,Bulk Commodity,"Almonds (Dry Roasted, Unsalted)",26938074258
746909,UNFI,Bulk Commodity,Walnut Pieces (Medium),26938074692
109348,UNFI,,OPEN,26938109349
110320,UNFI,Wricley Nut,"Mixed Nuts (Roasted, Unsalted)",26938110321
110346,UNFI,Wricley Nut,"Mixed Nuts (Roasted, Salted)",26938110345
116061,UNFI,Bulk Commodity,Pistachio Meats (Raw),26938116064
132506,UNFI,Bulk Commodity,Dry Roasted Peanuts,26938132507
144931,UNFI,Bulk Commodity,Brazil Nuts (Raw),26938144937
282137,UNFI,Bulk Commodity,Whole Almonds,26938282134
314625,UNFI,Bulk Commodity,Raw Walnuts (Halves & Pieces),26938314620
315192,UNFI,Bulk Commodity,Brazil Nuts (Raw),26938315191
346833,UNFI,Bulk Commodity,Chinese Pine Nuts,26938346836
457978,UNFI,Baugher Ranch Organics,Dry Roast Almonds (Salted),26938457976
463794,UNFI,Nature's Secret,Canola Salad Oil,26938463793
312371,UNFI,Bulk Commodity,"Almonds (Dry Roasted, Unsalted)",26938465612
465658,UNFI,Bulk Commodity,Almonds (Sliced),26938465650
465674,UNFI,Bulk Commodity,Almonds (Slivered & Blanched),26938465674
465732,UNFI,Bulk Commodity,Whole Almonds,26938465735
465815,UNFI,Bulk Commodity,"Large Cashew Pieces (Roasted, Salted)",26938465810
465856,UNFI,Bulk Commodity,"Large Whole Cashews (Roasted, Salted)",26938465858
466094,UNFI,Bulk Commodity,Pistachios (Raw),26938466091
466136,UNFI,Bulk Commodity,Pistachios (Raw),26938466138
491233,UNFI,Bulk Commodity,Brazil Nuts (Raw),26938491239
491498,UNFI,Midwest Northern Inc,Caterer's Mix (Roasted & Salted),26938491499
491670,UNFI,Midwest Northern Inc,Butter Toffee Peanuts,26938491673
491696,UNFI,Midwest Northern Inc,Butter Toffee Peanuts,26938491673
534206,UNFI,Bulk Commodity,"Deluxe Mixed Nuts (Roasted, Salted)",26938534202
596023,UNFI,Bulk Commodity,Brazil Nuts (Raw),26938596026
778753,UNFI,Bulk Commodity,Cashew Pieces (Raw),26938778750
778811,UNFI,Bulk Commodity,Pine Nuts (Pignolas),26938778811
778837,UNFI,Bulk Commodity,"Pistachios (Roasted, Salted)",26938778835
1859651,UNFI,Bulk Commodity,Honey Roasted Almonds,26938859657
1876143,UNFI,Bulk Commodity,Whole Cashews (Raw),26938876142
